2026-08-14 21:21:57,425 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2026-08-14 21:22:05,092 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal)
2026-08-14 21:22:05,092 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal)
2026-08-14 21:22:05,094 | INFO | tenants.middleware | ✅ Resposta gerada — Tenant ID: 0
2026-08-14 21:22:05,094 | INFO | tenants.middleware | ✅ Resposta gerada — Tenant ID: 0
2026-08-14 21:22:05,098 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal) — redirecionando para /home_view/
2026-08-14 21:22:05,098 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal) — redirecionando para /home_view/
2026-08-14 21:22:05,100 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal)
2026-08-14 21:22:05,100 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal)
2026-08-14 21:22:05,102 | INFO | tenants.middleware | ✅ Resposta gerada — Tenant ID: 0
2026-08-14 21:22:05,102 | INFO | tenants.middleware | ✅ Resposta gerada — Tenant ID: 0
2026-08-14 21:39:48,693 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2026-08-14 21:40:10,171 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal)
2026-08-14 21:40:10,171 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal)
2026-08-14 21:40:10,173 | INFO | tenants.middleware | ✅ Resposta gerada — Tenant ID: 0
2026-08-14 21:40:10,173 | INFO | tenants.middleware | ✅ Resposta gerada — Tenant ID: 0
2026-08-14 21:40:10,176 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal) — redirecionando para /home_view/
2026-08-14 21:40:10,176 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal) — redirecionando para /home_view/
2026-08-14 21:40:10,179 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal)
2026-08-14 21:40:10,179 | INFO | tenants.middleware | ℹ️ Sem subdomínio (site principal)
2026-08-14 21:40:10,181 | INFO | tenants.middleware | ✅ Resposta gerada — Tenant ID: 0
